iso,kurz,vollform,gender
004,Afghanistan,Islamische Staat Afghanistan,m
818,Ägypten,Arabische Republik Ägypten,f
008,Albanien,Sozialistische Republik Albanien,f
012,Algerien,Demokratische Volksrepublik Algerien,f
020,Andorra,Das Fürstentum Andorra,n
024,Angola,Republik Angola,f
028,Antigua und Barbuda,Antigua und Barbuda,n
226,Äquatorialguinea,Republik Äquatorialguinea,f
032,Argentinien,Argentinische Republik,f
051,Armenien,Republik Armenien,f
031,Aserbaidschan,Republik Aserbaidschan,f
231,Äthiopien,Demokratische Volksrepublik Äthiopien,f
036,Australien,Australien,n
044,Bahamas,Das Commonwealth der Bahamas,n
048,Bahrain,Das Königreich Bahrain,n
050,Bangladesch,Volksrepublik Bangladesch,f
052,Barbados,Barbados,n
112,Belarus,Republik Belarus,f
056,Belgien,Das Königreich Belgien,n
084,Belize,Belize,n
204,Benin,Republik Benin,f
064,Bhutan,Das Königreich Bhutan,n
068,Bolivien,Republik Bolivien,f
070,Bosnien und Herzegowina,Bosnien und Herzegowina,n
072,Botsuana,Republik Botsuana,f
076,Brasilien,Föderative Republik Brasilien,f
096,Brunei Darussalam,Brunei Darussalam,n
100,Bulgarien,Republik Bulgarien,f
854,Burkina Faso,Burkina Faso,n
108,Burundi,Republik Burundi,f
132,Cabo Verde,Republik Cabo Verde,f
152,Chile,Republik Chile,f
156,China,Volksrepublik China,f
184,Cookinseln,Cookinseln,f
188,Costa Rica,Republik Costa Rica,f
384,Côte d'Ivoire,Republik Côte d´Ivoire,f
208,Dänemark,Das Königreich Dänemark,n
276,Deutschland,Bundesrepublik Deutschland,f
212,Dominica,Das Commonwealth Dominica,n
214,Dominikanische Republik,Dominikanische Republik,f
262,Dschibuti,Republik Dschibuti,f
218,Ecuador,Republik Ecuador,f
222,El Salvador,Republik EL Salvador,f
232,Eritrea,Staat Eritrea,m
233,Estland,Republik Estland,f
748,Eswatini,Das Königreich Eswatini,n
242,Fidschi,Republik Fidschi,f
246,Finnland,Republik Finnland,f
250,Frankreich,Französische Republik,f
266,Gabun,Gabunische Republik,n
270,Gambia,Republik Gambia,n
268,Georgien,Georgien,n
288,Ghana,Republik Ghana,f
308,Grenada,Grenada,n
300,Griechenland,Hellenische Republik,f
826,Großbritannien,Das Vereinigte Königreich von Großbritannien und Nordirland,n
320,Guatemala,Republik Guatemala,f
324,Guinea,Republik Guinea,f
624,Guinea-Bissau,Republik Guinea-Bissau,f
328,Guyana,Kooperative Republik Guyana,n
332,Haiti,Republik Haiti,f
340,Honduras,Republik Honduras,f
356,Indien,Republik Indien,f
360,Indonesien,Republik Indonesien,f
368,Irak,Republik Irak,f
364,Iran,Islamische Republik Iran,f
372,Irland,Irland,n
352,Island,Republik Island,f
376,Israel,Staat Israel,m
380,Italien,Italienische Republik,f
388,Jamaika,Jamaika,n
392,Japan,Japan,n
887,Jemen,Republik Jemen,f
400,Jordanien,Das Haschemitische Königreich Jordanien,n
116,Kambodscha,Das Königreich Kambodscha,n
120,Kamerun,Republik Kamerun,f
124,Kanada,Kanada,n
398,Kasachstan,Republik Kasachstan,f
634,Katar,Staat Katar,m
404,Kenia,Republik Kenia,f
417,Kirgisistan,Kirgisische Republik,f
296,Kiribati,Republik Kiribati,f
170,Kolumbien,Republik Kolumbien,f
174,Komoren,Union der Komoren,n
178,Kongo,Republik Kongo,f
180,"Kongo, Demokratische Republik",demokratische Republik Kongo,f
408,"Korea, Demokratische Volksrepublik",demokratische Volksrepublik Korea,f
410,"Korea, Republik",Republik Korea,f
 ,Kosovo,Republik Kosovo,f
191,Kroatien,Republik Kroatien,f
192,Kuba,Republik Kuba,f
414,Kuwait,Staat Kuwait,m
418,Laos,Demokratische Volksrepublik Laos,f
426,Lesotho,Das Königreich Lesotho,n
428,Lettland,Republik Lettland,f
422,Libanon,Libanesische Republik,f
430,Liberia,Republik Liberia,f
434,Libyen,Libyen,n
438,Liechtenstein,Das Fürstentum Liechtenstein,n
440,Litauen,Republik Litauen,f
442,Luxemburg,Das Großherzogtum Luxemburg,n
450,Madagaskar,Republik Madagaskar,f
454,Malawi,Republik Malawi,f
458,Malaysia,Malaysia,n
462,Malediven,Republik Malediven,f
466,Mali,Republik Mali,f
470,Malta,Republik Malta,f
504,Marokko,Das Königreich Marokko,n
584,Marshallinseln,Republik Marshallinseln,f
478,Mauretanien,Islamische Republik Mauretanien,f
480,Mauritius,Republik Mauritius,f
484,Mexiko,Vereinigten Mexikanischen Staaten,f
583,Mikronesien,Föderierten Staaten von Mikronesien,f
498,Moldau,Republik Moldau,f
492,Monaco,Das Fürstentum Monaco,n
496,Mongolei,Mongolei,f
499,Montenegro,Republik Montenego,n
508,Mosambik,Republik Mosambik,f
104,Myanmar,Union Myanmar,n
516,Namibia,Republik Namibia,f
520,Nauru,Republik Nauru,f
524,Nepal,Demokratische Bundesrepublik Nepal,f
554,Neuseeland,Neuseeland,n
558,Nicaragua,Republik Nicaragua,f
528,Niederlande,Das Königreich der Niederlande,n
562,Niger,Republik Niger,f
566,Nigeria,Bundesrepublik Nigeria,f
578,Norwegen,Das Königreich Norwegen,n
512,Oman,Das Sultanat Oman,n
040,Österreich,Republik Österreich,f
586,Pakistan,islamische Republik Pakistan,f
585,Palau,Republik Palau,f
591,Panama,Republik Panama,f
598,Papua-Neuguinea,Unabhängige Staat Papua-Neuguinea,m
